Rank,ResumeID,Score,Query
644,R002592,1,"sql"
645,R002596,1,"sql"
646,R002606,1,"sql"
647,R002612,1,"sql"
648,R002615,1,"sql"
649,R002619,1,"sql"
650,R002626,1,"sql"
651,R002631,1,"sql"
652,R002636,1,"sql"
653,R002638,1,"sql"
654,R002650,1,"sql"
655,R002659,1,"sql"
656,R002661,1,"sql"
657,R002662,1,"sql"
658,R002663,1,"sql"
659,R002666,1,"sql"
660,R002669,1,"sql"
661,R002677,1,"sql"
662,R002682,1,"sql"
663,R002690,1,"sql"
664,R002694,1,"sql"
665,R002705,1,"sql"
666,R002707,1,"sql"
667,R002714,1,"sql"
668,R002718,1,"sql"
669,R002719,1,"sql"
670,R002720,1,"sql"
671,R002727,1,"sql"
672,R002730,1,"sql"
673,R002736,1,"sql"
674,R002739,1,"sql"
675,R002742,1,"sql"
676,R002743,1,"sql"
677,R002747,1,"sql"
678,R002756,1,"sql"
679,R002762,1,"sql"
680,R002763,1,"sql"
681,R002766,1,"sql"
682,R002772,1,"sql"
683,R002774,1,"sql"
684,R002783,1,"sql"
685,R002784,1,"sql"
686,R002786,1,"sql"
687,R002790,1,"sql"
688,R002791,1,"sql"
689,R002793,1,"sql"
690,R002794,1,"sql"
691,R002796,1,"sql"
692,R002802,1,"sql"
693,R002804,1,"sql"
694,R002807,1,"sql"
695,R002810,1,"sql"
696,R002811,1,"sql"
697,R002812,1,"sql"
698,R002813,1,"sql"
699,R002819,1,"sql"
700,R002820,1,"sql"
701,R002823,1,"sql"
702,R002825,1,"sql"
703,R002827,1,"sql"
704,R002828,1,"sql"
705,R002829,1,"sql"
706,R002832,1,"sql"
707,R002833,1,"sql"
708,R002840,1,"sql"
709,R002852,1,"sql"
710,R002860,1,"sql"
711,R002869,1,"sql"
712,R002871,1,"sql"
713,R002874,1,"sql"
714,R002880,1,"sql"
715,R002883,1,"sql"
716,R002886,1,"sql"
717,R002887,1,"sql"
718,R002890,1,"sql"
719,R002891,1,"sql"
720,R002894,1,"sql"
721,R002899,1,"sql"
722,R002911,1,"sql"
723,R002915,1,"sql"
724,R002920,1,"sql"
725,R002922,1,"sql"
726,R002924,1,"sql"
727,R002925,1,"sql"
728,R002928,1,"sql"
729,R002934,1,"sql"
730,R002936,1,"sql"
731,R002941,1,"sql"
732,R002947,1,"sql"
733,R002948,1,"sql"
734,R002956,1,"sql"
735,R002959,1,"sql"
736,R002961,1,"sql"
737,R002963,1,"sql"
738,R002971,1,"sql"
739,R002973,1,"sql"
740,R002980,1,"sql"
741,R002983,1,"sql"
742,R002991,1,"sql"
743,R002995,1,"sql"
744,R002996,1,"sql"
745,R003000,1,"sql"
746,R003002,1,"sql"
747,R003006,1,"sql"
748,R003010,1,"sql"
749,R003014,1,"sql"
750,R003021,1,"sql"
751,R003023,1,"sql"
752,R003024,1,"sql"
753,R003032,1,"sql"
754,R003035,1,"sql"
755,R003057,1,"sql"
756,R003072,1,"sql"
757,R003078,1,"sql"
758,R003079,1,"sql"
759,R003083,1,"sql"
760,R003089,1,"sql"
761,R003093,1,"sql"
762,R003096,1,"sql"
763,R003101,1,"sql"
764,R003103,1,"sql"
765,R003106,1,"sql"
766,R003108,1,"sql"
767,R003110,1,"sql"
768,R003114,1,"sql"
769,R003116,1,"sql"
770,R003117,1,"sql"
771,R003124,1,"sql"
772,R003127,1,"sql"
773,R003131,1,"sql"
774,R003133,1,"sql"
775,R003149,1,"sql"
776,R003158,1,"sql"
777,R003162,1,"sql"
778,R003173,1,"sql"
779,R003176,1,"sql"
780,R003187,1,"sql"
781,R003194,1,"sql"
782,R003197,1,"sql"
783,R003199,1,"sql"
784,R003202,1,"sql"
785,R003208,1,"sql"
786,R003209,1,"sql"
787,R003222,1,"sql"
788,R003225,1,"sql"
789,R003226,1,"sql"
790,R003227,1,"sql"
791,R003229,1,"sql"
792,R003230,1,"sql"
793,R003232,1,"sql"
794,R003236,1,"sql"
795,R003253,1,"sql"
796,R003255,1,"sql"
797,R003256,1,"sql"
798,R003258,1,"sql"
799,R003260,1,"sql"
800,R003268,1,"sql"
801,R003271,1,"sql"
802,R003275,1,"sql"
803,R003278,1,"sql"
804,R003284,1,"sql"
805,R003288,1,"sql"
806,R003296,1,"sql"
807,R003298,1,"sql"
808,R003300,1,"sql"
809,R003302,1,"sql"
810,R003305,1,"sql"
811,R003310,1,"sql"
812,R003314,1,"sql"
813,R003321,1,"sql"
814,R003322,1,"sql"
815,R003335,1,"sql"
816,R003340,1,"sql"
817,R003343,1,"sql"
818,R003348,1,"sql"
819,R003349,1,"sql"
820,R003350,1,"sql"
821,R003351,1,"sql"
822,R003352,1,"sql"
823,R003367,1,"sql"
824,R003377,1,"sql"
825,R003378,1,"sql"
826,R003380,1,"sql"
827,R003381,1,"sql"
828,R003382,1,"sql"
829,R003387,1,"sql"
830,R003392,1,"sql"
831,R003394,1,"sql"
832,R003396,1,"sql"
833,R003400,1,"sql"
834,R003404,1,"sql"
835,R003412,1,"sql"
836,R003413,1,"sql"
837,R003414,1,"sql"
838,R003423,1,"sql"
839,R003428,1,"sql"
840,R003434,1,"sql"
841,R003439,1,"sql"
842,R003443,1,"sql"
843,R003448,1,"sql"
844,R003449,1,"sql"
845,R003450,1,"sql"
846,R003456,1,"sql"
847,R003462,1,"sql"
848,R003467,1,"sql"
849,R003471,1,"sql"
850,R003475,1,"sql"
851,R003477,1,"sql"
852,R003480,1,"sql"
853,R003483,1,"sql"
854,R003484,1,"sql"
855,R003490,1,"sql"
856,R003493,1,"sql"
857,R003503,1,"sql"
858,R003504,1,"sql"
859,R003506,1,"sql"
860,R003508,1,"sql"
861,R003513,1,"sql"
862,R003522,1,"sql"
863,R003526,1,"sql"
864,R003530,1,"sql"
865,R003535,1,"sql"
866,R003536,1,"sql"
867,R003549,1,"sql"
868,R003561,1,"sql"
869,R003570,1,"sql"
870,R003571,1,"sql"
871,R003578,1,"sql"
872,R003592,1,"sql"
873,R003601,1,"sql"
874,R003611,1,"sql"
875,R003612,1,"sql"
876,R003614,1,"sql"
877,R003622,1,"sql"
878,R003624,1,"sql"
879,R003628,1,"sql"
880,R003640,1,"sql"
881,R003641,1,"sql"
882,R003647,1,"sql"
883,R003650,1,"sql"
884,R003657,1,"sql"
885,R003665,1,"sql"
886,R003666,1,"sql"
887,R003667,1,"sql"
888,R003680,1,"sql"
889,R003681,1,"sql"
890,R003683,1,"sql"
891,R003687,1,"sql"
892,R003699,1,"sql"
893,R003705,1,"sql"
894,R003707,1,"sql"
895,R003709,1,"sql"
896,R003712,1,"sql"
897,R003718,1,"sql"
898,R003722,1,"sql"
899,R003728,1,"sql"
900,R003732,1,"sql"
901,R003738,1,"sql"
902,R003740,1,"sql"
903,R003749,1,"sql"
904,R003757,1,"sql"
905,R003782,1,"sql"
906,R003785,1,"sql"
907,R003805,1,"sql"
908,R003811,1,"sql"
909,R003826,1,"sql"
910,R003835,1,"sql"
911,R003844,1,"sql"
912,R003854,1,"sql"
913,R003855,1,"sql"
914,R003856,1,"sql"
915,R003859,1,"sql"
916,R003860,1,"sql"
917,R003863,1,"sql"
918,R003870,1,"sql"
919,R003873,1,"sql"
920,R003877,1,"sql"
921,R003878,1,"sql"
922,R003880,1,"sql"
923,R003881,1,"sql"
924,R003882,1,"sql"
925,R003884,1,"sql"
926,R003887,1,"sql"
927,R003888,1,"sql"
928,R003898,1,"sql"
929,R003899,1,"sql"
930,R003902,1,"sql"
931,R003908,1,"sql"
932,R003909,1,"sql"
933,R003914,1,"sql"
934,R003915,1,"sql"
935,R003916,1,"sql"
936,R003924,1,"sql"
937,R003928,1,"sql"
938,R003931,1,"sql"
939,R003937,1,"sql"
